X,Y,perte_charge
2.029090973,0.002380919,5.0
2.061596819,0.002358517,5.0
2.084660252,0.002342358,5.0
2.113013024,0.002324322,5.0
2.14515794,0.002300479,5.0
2.189939761,0.002274959,5.0
2.240992256,0.002232365,5.0
2.298708472,0.002192496,5.0
2.348561283,0.002162628,5.0
2.39188033,0.002135,5.0
2.459338567,0.002089751,5.0
2.512674939,0.002054267,5.0
2.554957126,0.002021116,5.0
2.616597669,0.001985163,5.0
2.673344655,0.001953213,5.0
2.744376186,0.001920194,5.0
2.835262155,0.001876541,5.0
2.894450627,0.001855937,5.0
2.964282009,0.001830903,5.0
3.011769775,0.00181545,5.0
3.069760365,0.001797094,5.0
3.131354886,0.001777433,5.0
3.194185221,0.001753526,5.0
3.268649485,0.001725593,5.0
3.359675936,0.001706516,5.0
3.423359741,0.001686538,5.0
3.493601991,0.001668879,5.0
3.539420083,0.001658122,5.0
3.5748623,0.001640723,5.0
3.616198618,0.00163149,5.0
3.656611338,0.001622315,5.0
3.707407657,0.001607336,5.0
3.770451519,0.001599017,5.0
3.82282933,0.001586863,5.0
3.881880589,0.00156721,5.0
3.940333841,0.00155473,5.0
3.987423946,0.001546079,5.0
0.019945948,0.013788918,10.0
0.020323378,0.013697633,10.0
0.02068516,0.013639867,10.0
0.020949161,0.013582338,10.0
0.021239964,0.013541402,10.0
0.021594266,0.013484295,10.0
0.021918185,0.013411215,10.0
0.02219797,0.013378873,10.0
0.02260565,0.013314412,10.0
0.022995458,0.013266276,10.0
0.023391993,0.013210333,10.0
0.023782249,0.013146683,10.0
0.024179029,0.013091245,10.0
0.024541806,0.013059682,10.0
0.025089279,0.012988922,10.0
0.025479771,0.012941964,10.0
0.025947815,0.012895182,10.0
0.026351683,0.012848564,10.0
0.026880207,0.012802124,10.0
0.027479898,0.012732764,10.0
0.028015606,0.012679083,10.0
0.0284674,0.012656163,10.0
0.029038388,0.012602808,10.0
0.029669902,0.012549682,10.0
0.030115149,0.012534564,10.0
0.030719205,0.012474187,10.0
0.031283568,0.012421599,10.0
0.031946314,0.012376713,10.0
0.032605109,0.012324542,10.0
0.033094415,0.012287414,10.0
0.033665275,0.012243006,10.0
0.034264887,0.01219876,10.0
0.034990815,0.01214001,10.0
0.035870388,0.012066968,10.0
0.036711292,0.012037908,10.0
0.037634149,0.011994426,10.0
0.038708152,0.011965557,10.0
0.039224121,0.011951147,10.0
0.040099469,0.012030873,10.0
0.041701515,0.012030982,10.0
0.043583473,0.012031108,10.0
0.04440881,0.012031162,10.0
0.045349759,0.012031224,10.0
0.046387361,0.012016768,10.0
0.047632337,0.012016848,10.0
0.048507585,0.012009649,10.0
0.049809466,0.011995233,10.0
0.051231037,0.011995323,10.0
0.052201224,0.011995383,10.0
0.053101813,0.011995439,10.0
0.054466887,0.011995523,10.0
0.056052323,0.011995619,10.0
0.057493255,0.011995706,10.0
0.058743897,0.01199578,10.0
0.060520576,0.011966939,10.0
0.062144932,0.011967033,10.0
0.063637059,0.011945456,10.0
0.064985483,0.011931112,10.0
0.067470161,0.011895275,10.0
0.068937844,0.011880996,10.0
0.069895419,0.011873875,10.0
0.07145534,0.011931468,10.0
0.073657174,0.011931586,10.0
0.075759459,0.011931697,10.0
0.077578538,0.011939,10.0
0.07948514,0.011939098,10.0
0.083440079,0.011939297,10.0
0.084786055,0.011939364,10.0
0.087061758,0.011939475,10.0
0.089596087,0.011939598,10.0
0.091343256,0.011896495,10.0
0.093950308,0.011832131,10.0
0.095994048,0.01179655,10.0
0.098842931,0.011789558,10.0
0.100881728,0.011768308,10.0
0.102283034,0.011739976,10.0
0.104220099,0.011697598,10.0
0.106193851,0.011655374,10.0
0.109466181,0.011627392,10.0
0.112032779,0.011592443,10.0
0.11327603,0.011571511,10.0
0.115676351,0.011536721,10.0
0.117802072,0.011508972,10.0
0.119570309,0.011474344,10.0
0.121432088,0.011446733,10.0
0.124279269,0.011419227,10.0
0.128604703,0.011364357,10.0
0.131620083,0.011350752,10.0
0.133595768,0.011337125,10.0
0.136276207,0.011303043,10.0
0.138627414,0.01126905,10.0
0.143970075,0.011120764,10.0
0.150643501,0.010905862,10.0
0.15654795,0.010808174,10.0
0.159805728,0.010792051,10.0
0.16402967,0.010711408,10.0
